Datetime,Inova Sup RHT - 337457Val1,Inova Sup RHT - 337457Val2,Inova Sup RHT - 337457Val3,Inova Sup RHT - 337457Val4,Inova Sup RHT - 337457Val5,Inova Sup RHT - 337457Val6
2021-09-26 01:03:00,66.32,16.94,10.6,56.1,16.4,-999.0
2021-09-26 01:04:00,66.32,16.94,10.6,56.1,16.4,-999.0
2021-09-26 01:05:00,66.32,16.94,10.6,56.1,16.4,-999.0
2021-09-26 01:06:00,66.32,16.93,10.6,56.1,16.4,-999.0
2021-09-26 01:07:00,66.32,16.93,10.6,56.1,16.4,-999.0
2021-09-26 01:08:00,66.32,16.93,10.6,56.1,16.4,-999.0
2021-09-26 01:09:00,66.32,16.93,10.6,56.1,16.4,-999.0
2021-09-26 01:10:00,66.32,16.92,10.6,56.0,16.4,-999.0
2021-09-26 01:11:00,66.32,16.92,10.6,56.0,16.4,-999.0
2021-09-26 01:12:00,66.32,16.92,10.6,56.0,16.4,-999.0
2021-09-26 01:13:00,66.32,16.92,10.6,56.0,16.4,-999.0
2021-09-26 01:14:00,66.32,16.92,10.6,56.0,16.4,-999.0
2021-09-26 01:15:00,66.38,16.92,10.6,56.1,16.4,-999.0
2021-09-26 01:16:00,66.32,16.91,10.6,56.0,16.4,-999.0
2021-09-26 01:17:00,66.38,16.91,10.6,56.0,16.4,-999.0
2021-09-26 01:18:00,66.38,16.91,10.6,56.0,16.4,-999.0
2021-09-26 01:19:00,66.38,16.91,10.6,56.0,16.4,-999.0
2021-09-26 01:20:00,66.38,16.89,10.6,56.0,16.4,-999.0
2021-09-26 01:21:00,66.38,16.89,10.6,56.0,16.4,-999.0
2021-09-26 01:22:00,66.38,16.89,10.6,56.0,16.4,-999.0
2021-09-26 01:23:00,66.38,16.88,10.6,55.9,16.4,-999.0
2021-09-26 01:24:00,66.38,16.88,10.6,55.9,16.4,-999.0
2021-09-26 01:25:00,66.38,16.88,10.6,55.9,16.4,-999.0
2021-09-26 01:26:00,66.38,16.88,10.6,55.9,16.4,-999.0
2021-09-26 01:27:00,66.38,16.87,10.6,55.9,16.3,-999.0
2021-09-26 01:28:00,66.38,16.87,10.6,55.9,16.3,-999.0
2021-09-26 01:29:00,66.34,16.87,10.6,55.8,16.3,-999.0
2021-09-26 01:30:00,66.38,16.87,10.6,55.9,16.3,-999.0
2021-09-26 01:31:00,66.34,16.87,10.6,55.8,16.3,-999.0
2021-09-26 01:32:00,66.34,16.86,10.6,55.8,16.3,-999.0
2021-09-26 01:33:00,66.34,16.86,10.6,55.8,16.3,-999.0
2021-09-26 01:34:00,66.34,16.86,10.6,55.8,16.3,-999.0
2021-09-26 01:35:00,66.34,16.86,10.6,55.8,16.3,-999.0
2021-09-26 01:36:00,66.34,16.85,10.5,55.8,16.3,-999.0
2021-09-26 01:37:00,66.38,16.86,10.6,55.8,16.3,-999.0
2021-09-26 01:38:00,66.38,16.85,10.6,55.8,16.3,-999.0
2021-09-26 01:39:00,66.38,16.85,10.6,55.8,16.3,-999.0
2021-09-26 01:40:00,66.38,16.85,10.6,55.8,16.3,-999.0
2021-09-26 01:41:00,66.38,16.84,10.5,55.8,16.3,-999.0
2021-09-26 01:42:00,66.38,16.84,10.5,55.8,16.3,-999.0
2021-09-26 01:43:00,66.38,16.84,10.5,55.8,16.3,12.9
2021-09-26 01:44:00,66.38,16.83,10.5,55.7,16.3,12.9
2021-09-26 01:45:00,66.38,16.83,10.5,55.7,16.3,12.9
2021-09-26 01:46:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:47:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:48:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:49:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:50:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:51:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:52:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:53:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:54:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:55:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:56:00,66.38,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:57:00,66.4,16.82,10.5,55.7,16.3,12.9
2021-09-26 01:58:00,66.4,16.82,10.5,55.7,16.3,-999.0
2021-09-26 01:59:00,66.4,16.81,10.5,55.7,16.3,-999.0
2021-09-26 02:00:00,66.4,16.82,10.5,55.7,16.3,-999.0
2021-09-26 02:01:00,66.4,16.81,10.5,55.7,16.3,-999.0
2021-09-26 02:02:00,66.4,16.8,10.5,55.6,16.3,-999.0
2021-09-26 02:03:00,66.4,16.81,10.5,55.7,16.3,12.9
2021-09-26 02:04:00,66.4,16.8,10.5,55.6,16.3,12.9
2021-09-26 02:05:00,66.4,16.79,10.5,55.6,16.3,12.9
2021-09-26 02:06:00,66.4,16.79,10.5,55.6,16.3,12.9
2021-09-26 02:07:00,66.4,16.79,10.5,55.6,16.3,12.9
2021-09-26 02:08:00,66.4,16.79,10.5,55.6,16.3,-999.0
2021-09-26 02:09:00,66.4,16.79,10.5,55.6,16.3,-999.0
2021-09-26 02:10:00,66.4,16.78,10.5,55.6,16.2,-999.0
2021-09-26 02:11:00,66.4,16.78,10.5,55.6,16.2,-999.0
2021-09-26 02:12:00,66.4,16.78,10.5,55.6,16.2,-999.0
2021-09-26 02:13:00,66.4,16.77,10.5,55.5,16.2,-999.0
